Source Name,Project code,Project Name,Projects
TG2151_PRJ_HSE_Stats_Report V4_00_Updated.xlsx,TG2151,Refurbishment of underground car parking,TG2151_Refurbishment of underground car parking
TG2133 & TG2136_Mina Island Villa Project HSE Monthly report.xlsx,TG2133&2136,Mina Island Villa Projects,TG2133&2136_Mina Island Villa Projects
I052_PRJ_HSE_Stats_Report V4_00_Updated.xlsx,I052,Baniyas North Phase 2,I052_Baniyas North Phase 2
TG 2144- MONTHLY STATISTICS REPORT -JANUARY 2026.xlsx,TG2144,CONSTRUCTION OF TOWNHOUSES & SD VILLAS-PHASE 1B & 1C,TG2144_CONSTRUCTION OF TOWNHOUSES & SD VILLAS-PHASE 1B & 1C
TG2153_HSE_Stats_Report_January 2026.xlsx,TG2153,EPC FOR FUEL FACILITIES AT ZIA ,TG2153_EPC FOR FUEL FACILITIES AT ZIA 
TG2150 -CMW -HSE-Stats-Report -JAN 2026.xlsx,TG2150,Command of Military Works,TG2150_Command of Military Works
DIRD-NPC MONTHLY REPORT-JAN 2026.xlsx,I062,DAS ISLAND RESIDENTIAL DEVELOPMENT PROJECT (DIRD),I062_DAS ISLAND RESIDENTIAL DEVELOPMENT PROJECT (DIRD)
I053_PRJ_HSE_Stats_Report V4_00_Updated JANUARY.xlsx,I053,Hudayriyat Island Priority Development Area,I053_Hudayriyat Island Priority Development Area
TG2145_AL Deem_HSE_Stats_Report V4_00_Updated.xlsx,TG2145,AL Deem Development,TG2145_AL Deem Development
TG2103_PRJ_HSE_Stats_Report V4_00_Updated.xlsx,TG2103,SB-03 Luxury Residential Development Project,TG2103_SB-03 Luxury Residential Development Project
TG-2164_Maysan Development Phase 1_HSE_Stats_Report V4_00_Updated.xlsx,TG2164,Maysan Development Phase 1,TG2164_Maysan Development Phase 1
TG2121_PRJ_HSE_Stats_Report V4_00_Updated.xlsx,TG2121,Emirati housing - Al Samha 242 villas and service facilities ,TG2121_Emirati housing - Al Samha 242 villas and service facilities 
Monthly HSE Statistics Report GAD - TG2097 - January 2026.xlsx,TG2097,Guggenheim Abu Dhabi Main Works,TG2097_Guggenheim Abu Dhabi Main Works
I045_ RCN-Phase 6_HSE_Stats_Report V4_00_Updated.xlsx,I045,Riyadh city north development phase 6,I045_Riyadh city north development phase 6
S013_CITY WALK PROJECT_HSE_Stats_JAN-26-Report V4_00_Updated.xlsx,S013,City walk ,S013_City walk 
TG2134_BNYW_HSE_Stats_JAN_26_TGC_Report.xlsx,TG2134,Baniyas West,TG2134_Baniyas West
I067_BNW_HSE_Stats_Report_NPC_JAN_26.xlsx,I067,Baniyas West,I067_Baniyas West
TG2140_PRJ_HSE_Stats_Report V4_00_Updated.xlsx,TG2140,Construction Of Mainland Villas 218No's,TG2140_Construction Of Mainland Villas 218No's
I071_PRJ_HSE_Stats_Report V4_00_Updated.xlsx,I071,Contract No. P2411-BUILD CONTRACT FOR JBL 5,I071_Contract No. P2411-BUILD CONTRACT FOR JBL 5
TG2163_P22 Hexagon January_HSE_Stats_Report V4_00_Updated.xlsx,TG2163,P22-Heptagon Project,TG2163_P22-Heptagon Project
TG2130_Velodrome_HSE_Stats_Report V4_January 2026.xlsx,TG2130,AL HUDAYRIYAT WEST VELODROME,TG2130_AL HUDAYRIYAT WEST VELODROME
279_PRJ_HSE_Stats_Report V4_00_Updated For the Month of January 2026.xlsx,A04,"KAFD A.04, D&B parcels","A04_KAFD A.04, D&B parcels"
TG2114_BNDP2_PRJCODE_PRJ_HSE_Stats_Report V4_00_Updated_JAN2026.xlsx,TG2114,BANIYAS NORTH DEVELOPMENT PHSE-2,TG2114_BANIYAS NORTH DEVELOPMENT PHSE-2
I055_PRJ_HSE_Stats_Report V4_00_Updated.xlsx,I055,Hudayriyat West Infrastructure Phase 01,I055_Hudayriyat West Infrastructure Phase 01
TG2143_PRJ_HSE_Stats_Report V4_00_Updated.xlsx,TG2143,Sport Hotel -Main Works ,TG2143_Sport Hotel -Main Works 
I057 PRJCODE_PRJ_HSE_Stats_Report V4_00_Updated.xlsx,I057,Reem Hills-Phase 1,I057_Reem Hills-Phase 1
